id,cuisine,ingredients
1529,Asian,date vegetable_oil rice egg sesame_seed
1530,American,butter coffee wheat vanilla walnut cocoa vegetable_oil egg cream
1531,Italian,butter black_pepper parsley parmesan_cheese lettuce tuna egg
1532,EasternEuropean_Russian,butter tomato lemon onion beef potato black_pepper parsley parsnip celery turnip carrot garlic beet dill cream
1533,Italian,olive_oil lemon_juice apple fennel currant blue_cheese
1534,American,butter wheat onion yeast corn egg milk
1535,Italian,olive_oil onion beef black_pepper sage celery carrot garlic wine nutmeg beef_broth porcini rosemary meat
1536,Jewish,butter wheat starch egg vanilla strawberry brandy raspberry lemon_peel
1537,American,butter cane_molasses wheat buttermilk vanilla cocoa milk_fat egg milk
1538,Italian,olive_oil lemon_juice lemon beef black_pepper parsley garlic oregano
1539,French,butter olive_oil olive wheat
1540,Italian,olive_oil lemon_juice mustard fish parmesan_cheese lettuce macaroni garlic bread
1541,American,turkey black_pepper
1542,French,vinegar mustard olive_oil shallot chervil black_pepper champagne_wine lettuce chicory chive
1543,Asian,pork sesame_oil soy_sauce lime_juice cilantro milk_fat veal nut rice egg milk bread
1544,Asian,coriander vinegar pepper mustard beef olive_oil asparagus chicken_broth black_pepper onion ginger white_wine fennel garlic soybean orange soy_sauce
1545,Italian,tomato vinegar mustard onion olive_oil shallot corn red_wine buttermilk cucumber olive vegetable_oil bread cheese basil
1546,American,cane_molasses olive_oil pepper lemon_juice beef onion vinegar tabasco_pepper black_pepper vegetable_oil wine garlic blue_cheese pecan bread watercress egg pork_sausage okra
1547,French,butter lemon_juice wheat peach starch lemon_peel strawberry gelatin currant raspberry egg
1548,American,coconut egg
1549,Indian,olive_oil ginger carrot coriander parsley lard roasted_beef cinnamon fenugreek pepper wheat garlic tomato onion potato raisin cumin pea mango butter beef_broth egg turmeric
1550,American,butter cocoa raspberry egg milk cream
1551,Asian,peanut_oil coriander pepper beef onion fenugreek soy_sauce cumin ginger garlic chicken rice broccoli turmeric
1552,American,lime milk egg blackberry cream
1553,French,tomato olive_oil thyme potato black_pepper garlic basil bread
1554,Chinese,olive_oil fish ginger white_wine garlic scallion soy_sauce
1555,American,cane_molasses butter rum vanilla vegetable_oil cream
1556,American,butter dill wheat black_pepper leek celery milk_fat carrot cod milk
1557,Asian,vinegar cilantro sesame_oil beef soy_sauce bacon pepper ginger scallion sherry garlic soybean pineapple vegetable_oil bread rice egg shrimp zucchini
1558,EasternEuropean_Russian,butter wheat vanilla raisin milk_fat egg milk
1559,American,coriander vinegar onion olive_oil beet rice pea
1560,American,vinegar green_bell_pepper onion cider black_pepper carrot vegetable_oil cabbage egg cream
1561,French,lamb fish black_pepper garlic olive rosemary
1562,American,tomato olive_oil lemon thyme yeast rosemary black_pepper parsley parmesan_cheese bell_pepper wheat egg milk bread
1563,American,tomato vinegar fennel onion black_pepper parsley bay celery bean carrot olive chicken
1564,Asian,pork sesame_oil starch black_bean chicken_broth black_pepper ginger scallion garlic vegetable_oil lobster egg soy_sauce wine
1565,American,lemon wheat milk egg milk_fat
1566,Mediterranean,honey apricot pistachio
1567,American,butter wheat milk cocoa strawberry egg blueberry cream
1568,Mediterranean,butter olive_oil wheat feta_cheese garlic milk_fat macaroni veal egg milk
1569,Italian,olive_oil lemon_juice fish black_pepper garlic bell_pepper vegetable_oil tuna egg
1570,American,butter mustard tarragon shallot chicken cream
1571,Spanish_Portuguese,butter cane_molasses almond wheat corn cashew pear vanilla date egg nut cream
1572,German,pork sauerkraut onion apricot chicken_broth bacon white_wine carrot meat plum mustard
1573,MiddleEastern,tomato olive_oil lemon_juice wheat black_pepper parsley cucumber mint
1574,Italian,butter lemon_juice wheat apricot vanilla almond lemon egg
1575,Asian,cane_molasses tomato pork celery_oil vinegar corn cider ginger olive_oil garlic soy_sauce chicken_broth
1576,French,orange_peel cane_molasses almond saffron honey milk_fat egg milk cream
1577,Italian,butter green_bell_pepper onion chicken_broth parmesan_cheese garlic bell_pepper basil macaroni chicken cream
1578,Indian,coriander vinegar cardamom cumin butter turmeric wine cinnamon
1579,German,cane_molasses juniper_berry sauerkraut onion vinegar red_wine bay vegetable_oil cabbage wine
1580,American,olive_oil lemon vinegar citrus lemon_peel cayenne scallion crab vegetable_oil egg bread
1581,American,thyme onion chicken_broth parsley celery carrot chicken rice
1582,Asian,olive_oil ginger carrot coriander parsley lard roasted_beef cinnamon fenugreek pepper wheat garlic tomato onion potato raisin cumin pea mango butter beef_broth egg turmeric
1583,French,olive_oil wheat thyme cheese rosemary white_wine milk_fat garlic goat_cheese egg milk basil
1584,Italian,olive_oil cilantro feta_cheese scallion chickpea macaroni garlic mint
1585,Asian,cilantro sesame_oil soy_sauce ginger scallion chicory bell_pepper orange bread
1586,Italian,tomato almond parsley smoke blue_cheese
1587,American,vinegar pepper cheese corn cilantro cumin bell_pepper kidney_bean
1588,American,vinegar soy_sauce orange_juice ginger white_wine honey chicken
1589,American,butter wheat rhubarb strawberry lard egg
1590,Italian,orange_peel olive_oil thyme vinegar white_wine fennel garlic olive
1591,Spanish_Portuguese,tomato olive_oil onion chicken_broth bay parsley saffron shrimp garlic bell_pepper chicken rice zucchini
1592,Italian,milk_fat orange_juice buttermilk strawberry gelatin milk cream
1593,American,cane_molasses pork starch chicken_broth ginger scallion garlic bell_pepper vegetable_oil cabbage soy_sauce
1594,American,basil vegetable_oil corn onion cream
1595,American,coffee wheat rum cocoa milk_fat egg milk cream
1596,Mediterranean,tomato olive_oil lemon_juice onion nut parsley basil olive garlic artichoke vegetable
1597,American,olive_oil lemon_juice mustard onion basil lemon_peel zucchini
1598,Italian,tomato olive_oil lemon black_pepper basil macaroni chive garlic
1599,American,butter dill scallion cream_cheese egg smoked_fish
1600,Cajun_Creole,vinegar pepper onion thyme chicken_broth red_wine black_pepper lovage ginger shrimp cinnamon wine vegetable_oil mustard bay pork_sausage bell_pepper
1601,American,butter cane_molasses wheat vanilla peppermint cocoa egg milk cream
1602,American,vinegar mustard onion olive_oil potato black_pepper parsley champagne_wine bean celery
1603,Greek,olive_oil wheat onion starch scallion chickpea oregano yogurt mint milk
1604,Spanish_Portuguese,tomato olive_oil marjoram onion vinegar cayenne cumin scallion cucumber bell_pepper smoke sherry garlic bread
1605,American,butter wheat cayenne egg cocoa
1606,American,olive_oil green_bell_pepper onion vinegar garlic bell_pepper olive sherry
1607,American,tomato olive_oil grape_juice wheat beef onion black_pepper red_wine cayenne thyme bay celery veal bell_pepper garlic beef_broth parsley rosemary mushroom
1608,Mediterranean,dill feta_cheese zucchini onion olive_oil
1609,American,lamb olive_oil wheat thyme red_wine lavender parsley savory fennel carrot garlic tomato basil porcini leek
1610,American,butter wheat lime_juice banana cocoa milk cream
1611,American,butter wheat cocoa pistachio egg milk
1612,Mexican,tomato chicken_broth cayenne cilantro scallion
1613,MiddleEastern,tomato olive_oil onion egg_noodle red_wine bay smoked_sausage garlic lemon_peel
1614,American,butter cane_molasses wheat apple yeast egg vanilla walnut cinnamon lemon_peel
1615,Asian,cane_molasses vinegar wheat onion olive_oil corn cayenne parmesan_cheese buttermilk chickpea garlic wheat_bread yogurt sherry tamarind egg lettuce basil
1616,Mexican,tomato cilantro onion avocado lime_juice garlic
1617,Southwestern,cheese cilantro onion olive_oil corn cayenne egg
1618,Southern_SoulFood,butter cane_molasses wheat orange_juice milk_fat cinnamon orange vegetable_oil milk
1619,American,butter lemon_juice wheat yeast lemon_peel starch blueberry cinnamon egg milk cream
1620,American,cocoa vanilla
1621,Southern_SoulFood,butter lemon_juice onion cayenne black_pepper shrimp bread
1622,American,butter cheese wheat black_pepper macaroni cheddar_cheese whole_grain_wheat_flour milk bread
1623,American,black_pepper olive_oil lemon scallion
1624,French,lemon_juice peach vanilla raspberry milk cream
1625,American,tomato olive_oil cayenne garlic bell_pepper tuna
1626,American,cheese coffee wheat yeast cocoa buttermilk egg milk cream
1627,American,olive_oil pepper onion corn cayenne garlic bell_pepper zucchini
1628,American,butter olive_oil wheat walnut carrot cinnamon cream_cheese lemon egg milk
1629,English_Scottish,butter wheat mustard onion parsley buttermilk cucumber chive vegetable_oil egg cream
1630,Indian,coriander cilantro cumin scallion cucumber yogurt
1631,American,butter thyme black_pepper parsley white_wine lettuce
1632,French,tomato olive_oil grape_juice mustard tarragon shallot thyme lettuce bean basil asparagus
1633,American,butter sesame_oil chicken_broth celery carrot sesame_seed chive cream leek bread
1634,German,butter cane_molasses wheat yeast vanilla pear cinnamon hazelnut egg milk bread
1635,Indian,butter wheat onion potato cayenne cumin ginger fennel garlic vegetable_oil mint turmeric
1636,Irish,tomato cane_molasses pepper wheat onion beef vinegar black_pepper thyme beer garlic butter lard vegetable_oil beef_broth egg tamarind
1637,Italian,butter wheat beef thyme cabernet_sauvignon_wine black_pepper blue_cheese vegetable_oil rosemary corn
1638,American,wheat apricot vanilla almond vegetable_oil egg milk
1639,American,lime
1640,Greek,olive_oil lemon_juice onion lima_bean parsley carrot garlic bell_pepper bread
1641,Asian,butter wheat egg
1642,Asian,vinegar rice mustard black_pepper soy_sauce red_wine cayenne ginger scallion garlic mango macaroni bell_pepper sesame_oil vegetable vegetable_oil chicken watercress lime_juice
1643,American,cane_molasses butter wheat vanilla cocoa orange_peel hazelnut egg
1644,French,olive_oil tarragon shallot chervil parsley white_wine garlic chive mussel bay
1645,Mexican,vegetable_oil chicken white_bread cayenne egg
1646,American,olive_oil marjoram onion mushroom cheese shiitake macaroni bell_pepper oyster
1647,Mexican,cucumber lime_juice cayenne
1648,Indian,tomato vinegar olive_oil black_pepper cumin ginger garlic bell_pepper yogurt chicken cream
1649,Italian,tomato olive_oil wheat onion cheese black_pepper parsley parmesan_cheese basil garlic butter mozzarella_cheese egg
1650,Italian,butter wheat lemon_peel egg cherry
1651,Italian,turkey olive_oil wheat onion fish black_pepper parsley white_wine garlic tomato orange lemon chicken_broth
1652,Central_SouthAmerican,vinegar pepper meat olive_oil black_pepper cumin bay garlic olive
1653,French,butter wheat shallot parsley white_wine mussel bread
1654,American,tomato olive_oil pepper mustard beef cheese shallot black_pepper onion fennel seed bell_pepper vegetable_oil wine egg pork_sausage bread
1655,Greek,lamb olive_oil lemon thyme black_pepper parsley garlic rosemary
1656,American,tomato vinegar cane_molasses celery_oil onion cider corn black_pepper pork garlic
1657,American,butter lemon_juice wheat yam nutmeg cinnamon sweet_potato egg milk cream
1658,MiddleEastern,olive_oil cilantro onion beef dill parsley scallion macaroni kidney_bean turmeric
1659,American,butter lemon_juice wheat vanilla cocoa buttermilk egg corn
1660,Italian,butter lemon egg almond pistachio wheat anise_seed
1661,Mediterranean,butter olive_oil wheat onion thyme chicken_broth garlic tomato zucchini
1662,American,dill olive_oil shallot parsley garlic yogurt chicken porcini cabbage
1663,Italian,butter cheese grape_juice chicken_broth mushroom olive_oil shallot corn parsley bay milk_fat shiitake milk oyster
1664,French,tomato olive_oil onion vinegar fish wine
1665,American,olive_oil fennel carrot black_pepper
1666,French,butter olive_oil thyme onion chicken_broth black_pepper swiss_cheese barley sherry egg cream
1667,American,cane_molasses cilantro mushroom starch lime_juice chicken_broth cayenne ginger bell_pepper soy_sauce chicken shiitake pea lime
1668,Mexican,peanut_oil pork grape starch cayenne soy_sauce black_pepper pepper scallion garlic bell_pepper chicken_broth oyster
1669,American,tomato cheese lemon_juice wheat shallot corn buttermilk seed currant basil vegetable_oil chicken egg
1670,Vietnamese,lemon onion beef fish ginger scallion lettuce bean garlic beef_broth star_anise
1671,French,butter olive_oil coriander mushroom thyme vinegar shallot shiitake black_pepper parsley bay chicory carrot garlic celery sherry leek chicken_broth endive
1672,French,pepper fish cayenne pork ginger honey garlic vegetable_oil
1673,American,butter wheat cumin buttermilk cheddar_cheese egg
1674,Southern_SoulFood,gruyere_cheese ham cheese parmesan_cheese milk_fat macaroni nutmeg milk cream
1675,Chinese,starch chicken_broth ginger vegetable_oil broccoli wine
1676,Asian,beef onion fish black_pepper ginger cinnamon star_anise
1677,EasternEuropean_Russian,butter caraway mustard onion radish cottage_cheese seed rye_flour bell_pepper scallion bread
1678,Southwestern,cane_molasses tomato lemon_juice onion cayenne corn black_pepper cumin parmesan_cheese lettuce garlic oregano soy_sauce vegetable_oil egg chicken_broth
1679,Mediterranean,lamb olive_oil grape_juice grape mustard chicken_broth black_pepper garlic olive rosemary bread
1680,Thai,cilantro cayenne shallot lime_juice fish black_pepper pork ginger mango garlic fruit palm vegetable_oil mint star_anise lime
1681,Central_SouthAmerican,butter wheat meat bacon scallion lard cheddar_cheese egg
1682,Asian,sesame_oil beef starch soy_sauce cayenne ginger garlic sherry vegetable_oil chicken rice broccoli
1683,Greek,tomato olive_oil lemon_juice vinegar feta_cheese red_wine lettuce garlic olive cucumber
